OrderID,CustomerID,State,OrderDate,OrderSeason,OrderDayOfWeek,ProductCategory,ProductSubCategory,UnitPrice,Quantity,TotalAmount,DiscountPercent,DiscountAmount,FinalAmount,PaymentMethod,DeviceType,MembershipTier,ShippingDays,Returned,ReviewScore
ORD-010043,CUST-08099,MS,4/23/2023,Spring,Sunday,Beauty & Personal Care,Haircare,40.01,2,80.02,10,8,72.02,Apple Pay,Mobile,Gold,5,No,5
ORD-010044,CUST-05377,GA,2/25/2023,Winter,Saturday,Books,Self-Help,40.81,1,40.81,20,8.16,32.65,Apple Pay,Mobile,Gold,2,No,3
ORD-010045,CUST-03864,PA,11/13/2023,Fall,Monday,Electronics,Tablets,1203.12,2,2406.24,0,0,2406.24,Gift Card,Tablet,Platinum,4,No,5
ORD-010046,CUST-02612,MI,3/30/2024,Spring,Saturday,Beauty & Personal Care,Fragrances,63,3,189,0,0,189,Credit Card,Mobile,Bronze,5,No,5
ORD-010047,CUST-01951,KS,9/17/2022,Fall,Saturday,Grocery,Bakery,28.17,1,28.17,20,5.63,22.54,PayPal,Tablet,Gold,6,No,5
ORD-010048,CUST-03668,MI,7/28/2022,Summer,Thursday,Toys & Games,Puzzles,90.42,1,90.42,15,13.56,76.86,Debit Card,Tablet,Silver,2,No,4
ORD-010049,CUST-07329,NE,03-08-2023,Spring,Wednesday,Clothing,Bottoms,70.48,3,211.44,15,31.72,179.72,Google Pay,Mobile,Gold,6,No,4
ORD-010050,CUST-08566,SC,11-01-2023,Fall,Wednesday,Beauty & Personal Care,Makeup,89.22,1,89.22,0,0,89.22,Credit Card,Mobile,Platinum,5,No,4
ORD-010051,CUST-01159,NY,4/16/2023,Spring,Sunday,Beauty & Personal Care,Fragrances,35.87,2,71.74,0,0,71.74,Credit Card,Desktop,Gold,4,No,5
ORD-010052,CUST-06481,IA,10-11-2023,Fall,Wednesday,Grocery,Organic,2.44,1,2.44,20,0.49,1.95,PayPal,Tablet,Bronze,5,No,4
ORD-010053,CUST-01070,OR,3/28/2022,Spring,Monday,Automotive,Car Accessories,183.57,2,367.14,0,0,367.14,Apple Pay,Desktop,Bronze,4,No,4
ORD-010054,CUST-04611,LA,04-12-2023,Spring,Wednesday,Health & Wellness,Fitness Accessories,85.32,1,85.32,20,17.06,68.26,Google Pay,Desktop,Gold,3,No,4
ORD-010055,CUST-04280,MN,06-12-2024,Summer,Wednesday,Sports & Outdoors,Cycling,364.89,5,1824.45,25,456.11,1368.34,Buy Now Pay Later,Tablet,Gold,4,No,3
ORD-010056,CUST-06060,AK,12-02-2024,Winter,Monday,Home & Kitchen,Storage,221.63,1,221.63,0,0,221.63,Google Pay,Tablet,Bronze,5,No,3
ORD-010057,CUST-05175,ID,1/24/2023,Winter,Tuesday,Toys & Games,Action Figures,96.76,1,96.76,0,0,96.76,Buy Now Pay Later,Desktop,Gold,4,No,5
ORD-010058,CUST-01709,MA,02-01-2022,Winter,Tuesday,Books,Science,44.82,1,44.82,0,0,44.82,Google Pay,Mobile,Silver,4,No,4
ORD-010059,CUST-01227,KY,02-07-2023,Winter,Tuesday,Beauty & Personal Care,Fragrances,18.94,1,18.94,0,0,18.94,Google Pay,Desktop,Bronze,4,No,5
ORD-010060,CUST-07953,RI,12-06-2022,Winter,Tuesday,Toys & Games,Action Figures,64.8,2,129.6,5,6.48,123.12,Debit Card,Desktop,Bronze,4,No,5
ORD-010061,CUST-01125,SC,9/16/2022,Fall,Friday,Beauty & Personal Care,Makeup,12.14,1,12.14,10,1.21,10.93,PayPal,Mobile,Bronze,2,No,5
ORD-010062,CUST-01174,UT,5/17/2024,Spring,Friday,Toys & Games,Puzzles,135.87,2,271.74,20,54.35,217.39,Buy Now Pay Later,Tablet,Gold,2,No,4
ORD-010063,CUST-02510,KY,5/14/2022,Spring,Saturday,Home & Kitchen,Appliances,384.09,1,384.09,0,0,384.09,Gift Card,Desktop,Silver,5,No,4
ORD-010064,CUST-03623,NC,5/22/2023,Spring,Monday,Health & Wellness,Mental Wellness,93.52,2,187.04,10,18.7,168.34,Buy Now Pay Later,Desktop,Platinum,3,No,4
ORD-010065,CUST-01857,TX,03-01-2022,Spring,Tuesday,Automotive,Car Accessories,117.88,3,353.64,20,70.73,282.91,Buy Now Pay Later,Tablet,Silver,4,No,5
ORD-010066,CUST-03431,RI,3/20/2022,Spring,Sunday,Sports & Outdoors,Team Sports,149.25,1,149.25,20,29.85,119.4,Apple Pay,Tablet,Gold,2,Yes,5
ORD-010067,CUST-08362,IL,08-01-2024,Summer,Thursday,Sports & Outdoors,Water Sports,143.99,1,143.99,0,0,143.99,Debit Card,Tablet,Silver,4,No,4
ORD-010068,CUST-08837,AZ,1/13/2023,Winter,Friday,Electronics,Headphones,456.64,3,1369.92,0,0,1369.92,Debit Card,Tablet,Platinum,1,No,5
ORD-010069,CUST-08471,KY,12-03-2024,Winter,Tuesday,Automotive,Parts,164.17,2,328.34,0,0,328.34,PayPal,Desktop,Gold,1,No,4
ORD-010070,CUST-02111,ND,9/25/2023,Fall,Monday,Beauty & Personal Care,Skincare,82.56,1,82.56,10,8.26,74.3,Apple Pay,Desktop,Bronze,1,No,3
ORD-010071,CUST-03194,IN,2/20/2022,Winter,Sunday,Health & Wellness,Vitamins,47.58,1,47.58,0,0,47.58,Apple Pay,Mobile,Silver,5,No,2
ORD-010072,CUST-06700,GA,07-04-2022,Summer,Monday,Health & Wellness,Mental Wellness,35.9,2,71.8,0,0,71.8,Google Pay,Desktop,Gold,3,No,5
ORD-010073,CUST-03968,AL,12-01-2022,Winter,Thursday,Clothing,Accessories,137.08,1,137.08,5,6.85,130.23,Debit Card,Mobile,Bronze,5,No,3
ORD-010074,CUST-05002,RI,11/23/2024,Fall,Saturday,Books,Self-Help,45.34,3,136.02,0,0,136.02,PayPal,Desktop,Bronze,2,No,4
ORD-010075,CUST-03275,ID,3/19/2022,Spring,Saturday,Clothing,Footwear,81.29,1,81.29,0,0,81.29,Credit Card,Desktop,Platinum,3,No,5
ORD-010076,CUST-08961,IL,03-12-2024,Spring,Tuesday,Automotive,Tools,102.08,1,102.08,0,0,102.08,Debit Card,Tablet,Platinum,5,No,3
ORD-010077,CUST-05616,CA,07-03-2023,Summer,Monday,Clothing,Footwear,126.04,5,630.2,0,0,630.2,PayPal,Desktop,Bronze,3,No,2
ORD-010078,CUST-04296,NC,08-01-2024,Summer,Thursday,Clothing,Outerwear,180.77,2,361.54,25,90.38,271.16,PayPal,Mobile,Bronze,4,No,4
ORD-010079,CUST-08769,CO,4/27/2022,Spring,Wednesday,Sports & Outdoors,Water Sports,232.43,1,232.43,5,11.62,220.81,Gift Card,Tablet,Platinum,4,No,5
ORD-010080,CUST-05375,MS,8/19/2024,Summer,Monday,Books,Science,30.39,2,60.78,5,3.04,57.74,Credit Card,Tablet,Silver,5,No,4
ORD-010081,CUST-03986,VA,05-02-2023,Spring,Tuesday,Beauty & Personal Care,Haircare,86.92,1,86.92,15,13.04,73.88,Credit Card,Tablet,Gold,7,No,4
ORD-010082,CUST-03332,SC,3/14/2022,Spring,Monday,Automotive,Electronics,77.08,1,77.08,10,7.71,69.37,Gift Card,Desktop,Bronze,7,No,2
ORD-010083,CUST-02820,NH,04-02-2024,Spring,Tuesday,Automotive,Parts,251.46,2,502.92,5,25.15,477.77,Google Pay,Desktop,Gold,2,No,2
ORD-010084,CUST-05299,PA,1/16/2022,Winter,Sunday,Books,History,16.12,1,16.12,20,3.22,12.9,Apple Pay,Desktop,Platinum,3,No,5
ORD-010085,CUST-03888,CT,04-09-2023,Spring,Sunday,Toys & Games,Action Figures,83.79,1,83.79,0,0,83.79,Buy Now Pay Later,Tablet,Platinum,4,No,5
ORD-010086,CUST-03016,RI,1/27/2025,Winter,Monday,Clothing,Tops,18.34,1,18.34,10,1.83,16.51,Buy Now Pay Later,Mobile,Bronze,6,No,4
ORD-010087,CUST-08870,CA,09-05-2023,Fall,Tuesday,Home & Kitchen,Bedding,263.98,3,791.94,0,0,791.94,Buy Now Pay Later,Tablet,Silver,3,No,5
ORD-010088,CUST-07460,IN,9/26/2024,Fall,Thursday,Sports & Outdoors,Camping Gear,324.44,2,648.88,5,32.44,616.44,Gift Card,Desktop,Gold,7,No,4
ORD-010089,CUST-03790,MS,02-09-2023,Winter,Thursday,Health & Wellness,Fitness Accessories,57.37,1,57.37,0,0,57.37,Apple Pay,Desktop,Gold,4,No,5
ORD-010090,CUST-06599,MT,1/30/2023,Winter,Monday,Toys & Games,Educational,123.72,1,123.72,0,0,123.72,Apple Pay,Mobile,Silver,3,No,4
ORD-010091,CUST-04889,WV,11-06-2023,Fall,Monday,Books,Fiction,25.09,1,25.09,10,2.51,22.58,Gift Card,Desktop,Bronze,5,No,4
ORD-010092,CUST-07716,DE,1/18/2023,Winter,Wednesday,Beauty & Personal Care,Makeup,79.77,2,159.54,0,0,159.54,Debit Card,Tablet,Bronze,5,No,5
ORD-010093,CUST-07340,NY,4/28/2023,Spring,Friday,Automotive,Tools,175.37,3,526.11,0,0,526.11,Google Pay,Tablet,Silver,2,No,4
ORD-010094,CUST-01723,UT,03-08-2022,Spring,Tuesday,Sports & Outdoors,Team Sports,336.07,1,336.07,20,67.21,268.86,Gift Card,Mobile,Bronze,5,No,5
ORD-010095,CUST-01306,UT,7/22/2023,Summer,Saturday,Sports & Outdoors,Water Sports,91.66,2,183.32,0,0,183.32,PayPal,Mobile,Silver,3,No,5
ORD-010096,CUST-01409,IN,01-02-2023,Winter,Monday,Automotive,Car Care,142.1,1,142.1,0,0,142.1,Debit Card,Desktop,Gold,2,No,4
ORD-010097,CUST-08091,WY,04-09-2024,Spring,Tuesday,Books,Science,34.44,2,68.88,0,0,68.88,PayPal,Desktop,Bronze,6,No,2
ORD-010098,CUST-06610,NM,4/30/2024,Spring,Tuesday,Home & Kitchen,Bedding,298.01,1,298.01,0,0,298.01,Credit Card,Mobile,Silver,5,No,3
ORD-010099,CUST-07212,AL,5/25/2022,Spring,Wednesday,Automotive,Tools,237.48,1,237.48,0,0,237.48,Debit Card,Desktop,Silver,4,No,5
ORD-010100,CUST-07856,FL,5/23/2022,Spring,Monday,Beauty & Personal Care,Haircare,62.56,1,62.56,10,6.26,56.3,PayPal,Tablet,Platinum,2,No,4
ORD-010101,CUST-02878,LA,7/22/2022,Summer,Friday,Grocery,Snacks,49.07,1,49.07,15,7.36,41.71,Google Pay,Tablet,Bronze,2,No,5
ORD-010102,CUST-04854,HI,8/28/2024,Summer,Wednesday,Home & Kitchen,Storage,316.19,1,316.19,0,0,316.19,Google Pay,Mobile,Silver,6,No,5
ORD-010103,CUST-03704,DE,02-03-2025,Winter,Monday,Grocery,Dairy,43.12,1,43.12,10,4.31,38.81,PayPal,Mobile,Bronze,5,No,4
ORD-010104,CUST-02694,AR,6/21/2023,Summer,Wednesday,Clothing,Footwear,29.2,1,29.2,0,0,29.2,Buy Now Pay Later,Desktop,Platinum,3,No,4
ORD-010105,CUST-02477,MO,3/13/2024,Spring,Wednesday,Health & Wellness,Mental Wellness,82.13,1,82.13,0,0,82.13,Gift Card,Desktop,Bronze,3,No,4
ORD-010106,CUST-07278,AR,03-07-2022,Spring,Monday,Toys & Games,Puzzles,65.01,1,65.01,0,0,65.01,Credit Card,Mobile,Silver,1,No,4
ORD-010107,CUST-01296,AK,10-03-2022,Fall,Monday,Automotive,Car Care,68.42,2,136.84,0,0,136.84,Credit Card,Desktop,Platinum,3,No,5
ORD-010108,CUST-08642,NE,12/15/2024,Winter,Sunday,Beauty & Personal Care,Fragrances,15.51,1,15.51,25,3.88,11.63,Buy Now Pay Later,Mobile,Silver,3,No,3
ORD-010109,CUST-02678,KS,9/13/2023,Fall,Wednesday,Toys & Games,Outdoor Toys,75.78,2,151.56,0,0,151.56,Apple Pay,Mobile,Silver,4,No,5
ORD-010110,CUST-07681,UT,7/19/2022,Summer,Tuesday,Beauty & Personal Care,Haircare,84.69,1,84.69,0,0,84.69,PayPal,Tablet,Platinum,4,No,5
ORD-010111,CUST-04837,IN,07-09-2024,Summer,Tuesday,Automotive,Parts,46.39,1,46.39,10,4.64,41.75,Credit Card,Desktop,Platinum,3,No,3
ORD-010112,CUST-06993,MT,3/20/2023,Spring,Monday,Clothing,Bottoms,95.27,1,95.27,0,0,95.27,Gift Card,Tablet,Bronze,7,No,4
ORD-010113,CUST-08111,FL,01-12-2023,Winter,Thursday,Sports & Outdoors,Water Sports,222.68,1,222.68,15,33.4,189.28,Credit Card,Mobile,Gold,3,No,5
ORD-010114,CUST-03034,NJ,3/21/2022,Spring,Monday,Toys & Games,Action Figures,38.52,1,38.52,0,0,38.52,Buy Now Pay Later,Tablet,Bronze,3,No,4
ORD-010115,CUST-06343,CT,2/28/2022,Winter,Monday,Home & Kitchen,Cookware,84.22,1,84.22,0,0,84.22,Buy Now Pay Later,Tablet,Gold,3,No,5
ORD-010116,CUST-07977,OK,11-06-2024,Fall,Wednesday,Grocery,Organic,15.08,1,15.08,5,0.75,14.33,Buy Now Pay Later,Tablet,Silver,5,No,3
ORD-010117,CUST-02016,AR,02-12-2023,Winter,Sunday,Sports & Outdoors,Water Sports,200.73,1,200.73,0,0,200.73,Apple Pay,Desktop,Bronze,1,No,5
ORD-010118,CUST-08732,IL,12-01-2023,Winter,Friday,Toys & Games,Puzzles,126.58,1,126.58,10,12.66,113.92,Buy Now Pay Later,Tablet,Silver,5,No,5
ORD-010119,CUST-01628,NJ,7/30/2022,Summer,Saturday,Home & Kitchen,Bedding,33.61,1,33.61,0,0,33.61,Credit Card,Tablet,Bronze,1,No,5
ORD-010120,CUST-03878,TX,09-01-2023,Fall,Friday,Grocery,Dairy,21.49,1,21.49,15,3.22,18.27,Google Pay,Desktop,Silver,1,No,5
ORD-010121,CUST-01092,NJ,8/26/2023,Summer,Saturday,Electronics,Laptops,587.15,2,1174.3,0,0,1174.3,Apple Pay,Desktop,Bronze,3,No,2
ORD-010122,CUST-03717,SC,04-05-2022,Spring,Tuesday,Sports & Outdoors,Camping Gear,289.7,1,289.7,0,0,289.7,Google Pay,Mobile,Gold,3,No,5
ORD-010123,CUST-01538,GA,06-03-2022,Summer,Friday,Health & Wellness,Fitness Accessories,6.98,1,6.98,15,1.05,5.93,Google Pay,Desktop,Platinum,3,No,4
ORD-010124,CUST-07796,PA,9/20/2023,Fall,Wednesday,Sports & Outdoors,Camping Gear,369.69,2,739.38,0,0,739.38,Gift Card,Mobile,Gold,1,No,5
ORD-010125,CUST-05654,IL,09-08-2022,Fall,Thursday,Grocery,Snacks,41.81,2,83.62,5,4.18,79.44,Buy Now Pay Later,Mobile,Gold,4,No,4
ORD-010126,CUST-02227,AL,2/18/2023,Winter,Saturday,Home & Kitchen,Cookware,255.89,1,255.89,0,0,255.89,Apple Pay,Mobile,Bronze,5,No,3
ORD-010127,CUST-03598,MO,10/20/2023,Fall,Friday,Books,Fiction,38.58,1,38.58,0,0,38.58,Credit Card,Desktop,Platinum,5,No,4
ORD-010128,CUST-04101,VT,01-08-2023,Winter,Sunday,Electronics,Tablets,165.37,3,496.11,0,0,496.11,Credit Card,Mobile,Platinum,1,No,5
ORD-010129,CUST-04845,NC,8/22/2022,Summer,Monday,Grocery,Beverages,32.5,1,32.5,0,0,32.5,Google Pay,Tablet,Bronze,3,No,5
ORD-010130,CUST-08390,MO,10/24/2023,Fall,Tuesday,Automotive,Parts,298.46,2,596.92,20,119.38,477.54,Credit Card,Mobile,Gold,3,No,4
ORD-010131,CUST-05314,NV,4/19/2023,Spring,Wednesday,Automotive,Tools,139.4,1,139.4,0,0,139.4,Debit Card,Tablet,Gold,1,No,4
ORD-010132,CUST-04576,DE,02-02-2022,Winter,Wednesday,Electronics,Cameras,587.7,1,587.7,15,88.16,499.54,Credit Card,Desktop,Platinum,4,No,4
ORD-010133,CUST-08289,MD,5/30/2023,Spring,Tuesday,Grocery,Organic,10.03,2,20.06,0,0,20.06,Google Pay,Desktop,Platinum,3,No,3
ORD-010134,CUST-01163,MS,6/29/2024,Summer,Saturday,Health & Wellness,Mental Wellness,15.37,1,15.37,0,0,15.37,Credit Card,Desktop,Gold,2,No,5
ORD-010135,CUST-07460,ND,2/23/2022,Winter,Wednesday,Sports & Outdoors,Water Sports,267.87,2,535.74,10,53.57,482.17,Gift Card,Mobile,Bronze,3,No,4
ORD-010136,CUST-02133,RI,1/22/2025,Winter,Wednesday,Health & Wellness,Mental Wellness,57.23,4,228.92,15,34.34,194.58,Debit Card,Desktop,Silver,6,No,5
ORD-010137,CUST-03441,RI,2/28/2025,Winter,Friday,Health & Wellness,Medical Devices,127.85,1,127.85,10,12.78,115.07,Buy Now Pay Later,Mobile,Platinum,4,No,5
ORD-010138,CUST-05564,GA,7/29/2022,Summer,Friday,Health & Wellness,Medical Devices,58.55,2,117.1,5,5.86,111.24,Gift Card,Mobile,Gold,5,No,4
ORD-010139,CUST-07659,NV,6/22/2022,Summer,Wednesday,Home & Kitchen,Appliances,162.11,1,162.11,25,40.53,121.58,Gift Card,Mobile,Platinum,5,No,5
ORD-010140,CUST-06689,CT,6/13/2022,Summer,Monday,Books,Fiction,34.84,2,69.68,0,0,69.68,Gift Card,Mobile,Bronze,2,No,5
ORD-010141,CUST-07503,AR,10/21/2023,Fall,Saturday,Home & Kitchen,Appliances,151.34,1,151.34,0,0,151.34,Gift Card,Desktop,Platinum,5,No,3
ORD-010142,CUST-05790,SD,08-06-2022,Summer,Saturday,Grocery,Bakery,11.52,3,34.56,15,5.18,29.38,Buy Now Pay Later,Tablet,Silver,6,No,4
ORD-010143,CUST-08917,VA,7/25/2023,Summer,Tuesday,Sports & Outdoors,Team Sports,261.26,2,522.52,10,52.25,470.27,Google Pay,Mobile,Silver,4,No,3
ORD-010144,CUST-04646,HI,09-07-2022,Fall,Wednesday,Grocery,Beverages,44.96,2,89.92,0,0,89.92,PayPal,Desktop,Bronze,4,No,5
ORD-010145,CUST-03604,MA,4/16/2022,Spring,Saturday,Toys & Games,Outdoor Toys,107.49,1,107.49,0,0,107.49,Apple Pay,Mobile,Silver,3,No,4
ORD-010146,CUST-02129,TN,11/20/2022,Fall,Sunday,Clothing,Tops,65.51,1,65.51,5,3.28,62.23,Buy Now Pay Later,Mobile,Bronze,3,No,5
ORD-010147,CUST-03379,NH,9/17/2024,Fall,Tuesday,Electronics,Smartphones,1127.96,1,1127.96,0,0,1127.96,Gift Card,Desktop,Bronze,4,No,4
ORD-010148,CUST-02768,FL,8/17/2022,Summer,Wednesday,Toys & Games,Puzzles,92.51,1,92.51,0,0,92.51,Credit Card,Desktop,Gold,1,No,4
ORD-010149,CUST-08845,IL,10-01-2023,Fall,Sunday,Automotive,Tools,30.48,2,60.96,0,0,60.96,Credit Card,Mobile,Silver,2,No,5
ORD-010150,CUST-07874,WI,03-06-2022,Spring,Sunday,Clothing,Bottoms,163.77,1,163.77,0,0,163.77,Credit Card,Mobile,Bronze,3,No,4
ORD-010151,CUST-04335,NY,8/13/2024,Summer,Tuesday,Beauty & Personal Care,Oral Care,56.58,2,113.16,0,0,113.16,Buy Now Pay Later,Desktop,Bronze,3,No,3
ORD-010152,CUST-07645,KY,8/14/2023,Summer,Monday,Toys & Games,Puzzles,43.84,2,87.68,20,17.54,70.14,Gift Card,Tablet,Silver,1,No,4
ORD-010153,CUST-08098,MT,09-11-2024,Fall,Wednesday,Automotive,Tools,274.34,1,274.34,20,54.87,219.47,Credit Card,Desktop,Silver,4,No,4
ORD-010154,CUST-05604,UT,04-01-2024,Spring,Monday,Books,History,36.84,1,36.84,10,3.68,33.16,PayPal,Mobile,Gold,2,No,5
ORD-010155,CUST-05369,VT,6/19/2023,Summer,Monday,Health & Wellness,Fitness Accessories,88.51,1,88.51,0,0,88.51,Google Pay,Tablet,Silver,1,No,3
ORD-010156,CUST-07837,CO,10/25/2023,Fall,Wednesday,Grocery,Beverages,30.73,1,30.73,10,3.07,27.66,Credit Card,Tablet,Bronze,3,No,5
ORD-010157,CUST-04459,AR,7/27/2023,Summer,Thursday,Home & Kitchen,Decor,309.69,1,309.69,0,0,309.69,Buy Now Pay Later,Tablet,Gold,5,No,3
ORD-010158,CUST-04454,OH,12/22/2024,Winter,Sunday,Beauty & Personal Care,Fragrances,72.06,1,72.06,0,0,72.06,Apple Pay,Desktop,Gold,6,No,5
